text,category,sentiment,priority,cleaned_text
I want to delete my account and all my data I have been waiting for days.,account,neutral,low,want delete account all data waiting days
Overall great experience but the loading is a bit slow I am very frustrated.,feedback,positive,medium,overall great experience loading bit slow am very frustrated
I love the new interface you released this week I have been waiting for days.,feedback,positive,low,love new interface released week waiting days
The mobile app is very slow and keeps freezing This is urgent.,technical_support,neutral,medium,mobile app very slow keeps freezing urgent
Thank you for resolving my issue so quickly Thank you in advance.,feedback,positive,low,thank resolving issue quickly thank advance
How do I initiate a return for a damaged item I have been waiting for days.,returns,negative,low,how initiate return damaged item waiting days
Does this product come with a warranty Please help me.,product_inquiry,positive,low,product come warranty please help
I need to change my delivery address I have been waiting for days.,shipping,negative,high,need change delivery address waiting days
This is the third time I have had this problem Can someone assist me?,complaint,neutral,high,third time problem can someone assist
Nobody is responding to my previous emails I have been waiting for days.,complaint,negative,medium,nobody responding previous emails waiting days
The customer support team was incredibly helpful Please help me.,feedback,positive,low,customer support team incredibly helpful please help
Your platform is one of the best I have used Please help me.,feedback,positive,low,platform one best used please help
I think the mobile app needs a dark mode Can someone assist me?,feedback,neutral,low,think mobile app needs dark mode can someone assist
I was charged twice for my subscription this month This is urgent.,billing,negative,urgent,charged twice subscription month urgent
Nobody is responding to my previous emails I am very frustrated.,complaint,neutral,urgent,nobody responding previous emails am very frustrated
I need to merge two accounts Thank you in advance.,account,neutral,high,need merge two accounts thank advance
The return window was missed due to shipping delays I am very frustrated.,returns,negative,low,return window missed due shipping delays am very frustrated
I cannot verify my email address Can someone assist me?,account,neutral,high,cannot verify email address can someone assist
I am considering switching to a competitor Thank you in advance.,complaint,negative,high,am considering switching competitor thank advance
My invoice shows an incorrect amount I have been waiting for days.,billing,negative,high,invoice shows incorrect amount waiting days
How do I initiate a return for a damaged item This is urgent.,returns,negative,low,how initiate return damaged item urgent
Is this service available in my country I have been waiting for days.,product_inquiry,positive,low,service available country waiting days
The website is showing an error 500 I am very frustrated.,technical_support,neutral,urgent,website showing error 500 am very frustrated
I am considering switching to a competitor I am very frustrated.,complaint,negative,medium,am considering switching competitor am very frustrated
Would love to see monthly billing as an option I have been waiting for days.,feedback,neutral,low,love see monthly billing as option waiting days
How long do refunds take to process I am very frustrated.,returns,negative,low,how long refunds take process am very frustrated
I am getting a server error when I try to submit,technical_support,neutral,medium,am getting server error when try submit
The return window was missed due to shipping delays Can someone assist me?,returns,negative,low,return window missed due shipping delays can someone assist
Does this product come with a warranty Thank you in advance.,product_inquiry,positive,medium,product come warranty thank advance
I have not received my refund after 2 weeks I am very frustrated.,returns,neutral,low,not received refund after weeks am very frustrated
The mobile app is very slow and keeps freezing This is urgent.,technical_support,neutral,high,mobile app very slow keeps freezing urgent
Would love to see monthly billing as an option Can someone assist me?,feedback,positive,medium,love see monthly billing as option can someone assist
What is the difference between plan A and plan B,product_inquiry,positive,low,what difference between plan plan
I cannot log in to my account,technical_support,neutral,high,cannot log account
My package was marked delivered but I did not receive it Thank you in advance.,shipping,neutral,medium,package marked delivered not receive thank advance
Would love to see monthly billing as an option I have been waiting for days.,feedback,positive,low,love see monthly billing as option waiting days
I cannot upload files through the platform I am very frustrated.,technical_support,neutral,medium,cannot upload files through platform am very frustrated
Does this product come with a warranty I have been waiting for days.,product_inquiry,positive,low,product come warranty waiting days
Would love to see monthly billing as an option Please help me.,feedback,positive,medium,love see monthly billing as option please help
What features are included in the enterprise tier I am very frustrated.,product_inquiry,positive,medium,what features included enterprise tier am very frustrated
This is the third time I have had this problem I have been waiting for days.,complaint,negative,medium,third time problem waiting days
The customer support team was incredibly helpful,feedback,positive,medium,customer support team incredibly helpful
Can I use the product on multiple devices,product_inquiry,positive,medium,can use product multiple devices
Thank you for resolving my issue so quickly This is urgent.,feedback,positive,medium,thank resolving issue quickly urgent
My data is not syncing between devices Thank you in advance.,technical_support,neutral,urgent,data not syncing between devices thank advance
I am furious about how my case was handled This is urgent.,complaint,neutral,medium,am furious how case handled urgent
Overall great experience but the loading is a bit slow,feedback,positive,low,overall great experience loading bit slow
I can't update my credit card information I have been waiting for days.,billing,negative,medium,can update credit card information waiting days
How does the cancellation policy work I have been waiting for days.,product_inquiry,positive,low,how cancellation policy work waiting days
I want to delete my account and all my data,account,neutral,low,want delete account all data
How does the cancellation policy work I have been waiting for days.,product_inquiry,neutral,low,how cancellation policy work waiting days
My bank account shows a charge but no confirmation Thank you in advance.,billing,neutral,medium,bank account shows charge no confirmation thank advance
I was charged twice for my subscription this month Thank you in advance.,billing,negative,urgent,charged twice subscription month thank advance
I am getting a server error when I try to submit Thank you in advance.,technical_support,neutral,medium,am getting server error when try submit thank advance
I am very unhappy with the service I received Please help me.,complaint,negative,medium,am very unhappy service received please help
Nobody is responding to my previous emails I am very frustrated.,complaint,neutral,medium,nobody responding previous emails am very frustrated
Please help me update my profile information Can someone assist me?,account,neutral,low,please help update profile information can someone assist
The app crashes every time I open it I am very frustrated.,technical_support,neutral,high,app crashes every time open am very frustrated
The customer support team was incredibly helpful This is urgent.,feedback,positive,medium,customer support team incredibly helpful urgent
How does the cancellation policy work Can someone assist me?,product_inquiry,neutral,medium,how cancellation policy work can someone assist
I have been waiting 10 days for a resolution I am very frustrated.,complaint,negative,urgent,waiting 10 days resolution am very frustrated
I received the wrong item in my package,shipping,negative,low,received wrong item package
I want to exchange my item for a different size I have been waiting for days.,returns,neutral,low,want exchange item different size waiting days
I received the wrong item in my package I am very frustrated.,shipping,negative,high,received wrong item package am very frustrated
I need a refund for the duplicate charge,billing,neutral,urgent,need refund duplicate charge
What is the difference between plan A and plan B I have been waiting for days.,product_inquiry,positive,low,what difference between plan plan waiting days
I was charged twice for my subscription this month Please help me.,billing,negative,urgent,charged twice subscription month please help
I received the wrong item in my package This is urgent.,shipping,negative,low,received wrong item package urgent
My order was returned to sender Thank you in advance.,shipping,neutral,medium,order returned sender thank advance
Please help me update my profile information Can someone assist me?,account,neutral,medium,please help update profile information can someone assist
I cannot upload files through the platform I have been waiting for days.,technical_support,neutral,medium,cannot upload files through platform waiting days
I want to exchange my item for a different size Please help me.,returns,neutral,low,want exchange item different size please help
I cannot log in to my account I have been waiting for days.,technical_support,neutral,high,cannot log account waiting days
Your platform is one of the best I have used,feedback,positive,low,platform one best used
I have a suggestion for improving the checkout process,feedback,positive,low,suggestion improving checkout process
Your service has gone downhill significantly This is urgent.,complaint,negative,high,service gone downhill significantly urgent
My data is not syncing between devices I am very frustrated.,technical_support,neutral,medium,data not syncing between devices am very frustrated
I received a defective product and need a replacement Can someone assist me?,returns,negative,low,received defective product need replacement can someone assist
My package was marked delivered but I did not receive it Please help me.,shipping,negative,low,package marked delivered not receive please help
I cannot verify my email address Thank you in advance.,account,neutral,high,cannot verify email address thank advance
I want to exchange my item for a different size Thank you in advance.,returns,neutral,low,want exchange item different size thank advance
I cannot verify my email address Please help me.,account,neutral,medium,cannot verify email address please help
I received a defective product and need a replacement Can someone assist me?,returns,negative,low,received defective product need replacement can someone assist
I have not received my refund after 2 weeks,returns,negative,medium,not received refund after weeks
What is the difference between plan A and plan B Please help me.,product_inquiry,positive,medium,what difference between plan plan please help
The return window was missed due to shipping delays This is urgent.,returns,negative,low,return window missed due shipping delays urgent
I was charged twice for my subscription this month Can someone assist me?,billing,negative,urgent,charged twice subscription month can someone assist
I need a refund for the duplicate charge I have been waiting for days.,billing,negative,high,need refund duplicate charge waiting days
Is this service available in my country,product_inquiry,positive,medium,service available country
Can I expedite my shipping Thank you in advance.,shipping,negative,high,can expedite shipping thank advance
What are the specifications of your premium plan Please help me.,product_inquiry,positive,low,what specifications premium plan please help
I received a defective product and need a replacement I have been waiting for days.,returns,neutral,medium,received defective product need replacement waiting days
Can I expedite my shipping This is urgent.,shipping,negative,low,can expedite shipping urgent
I am getting a server error when I try to submit I am very frustrated.,technical_support,neutral,high,am getting server error when try submit am very frustrated
I forgot my password and cannot reset it Thank you in advance.,account,neutral,low,forgot password cannot reset thank advance
I received the wrong item in my package Thank you in advance.,shipping,neutral,low,received wrong item package thank advance
Thank you for resolving my issue so quickly Can someone assist me?,feedback,neutral,low,thank resolving issue quickly can someone assist
I am furious about how my case was handled Thank you in advance.,complaint,negative,medium,am furious how case handled thank advance
I am considering switching to a competitor This is urgent.,complaint,neutral,medium,am considering switching competitor urgent
My payment was declined but money left my account I have been waiting for days.,billing,negative,high,payment declined money left account waiting days
I need to change my email address Please help me.,account,neutral,high,need change email address please help
What are the specifications of your premium plan Please help me.,product_inquiry,positive,low,what specifications premium plan please help
I think the mobile app needs a dark mode I am very frustrated.,feedback,positive,low,think mobile app needs dark mode am very frustrated
I need to change my email address I am very frustrated.,account,neutral,high,need change email address am very frustrated
I want to exchange my item for a different size This is urgent.,returns,neutral,medium,want exchange item different size urgent
I want to return a product I bought last week I am very frustrated.,returns,negative,low,want return product bought last week am very frustrated
I have a suggestion for improving the checkout process Can someone assist me?,feedback,positive,medium,suggestion improving checkout process can someone assist
The return window was missed due to shipping delays Thank you in advance.,returns,negative,medium,return window missed due shipping delays thank advance
My order was returned to sender This is urgent.,shipping,neutral,medium,order returned sender urgent
The tracking number is not updating Thank you in advance.,shipping,negative,medium,tracking number not updating thank advance
I want to return a product I bought last week,returns,neutral,low,want return product bought last week
Do you have a free trial available This is urgent.,product_inquiry,positive,low,free trial available urgent
I need to change my email address Please help me.,account,neutral,low,need change email address please help
Can I use the product on multiple devices This is urgent.,product_inquiry,positive,low,can use product multiple devices urgent
I want to return a product I bought last week This is urgent.,returns,negative,low,want return product bought last week urgent
I want to exchange my item for a different size Thank you in advance.,returns,negative,medium,want exchange item different size thank advance
Your platform is one of the best I have used Can someone assist me?,feedback,neutral,medium,platform one best used can someone assist
I want to exchange my item for a different size Please help me.,returns,neutral,medium,want exchange item different size please help
Can I expedite my shipping,shipping,negative,low,can expedite shipping
I am considering switching to a competitor Thank you in advance.,complaint,negative,high,am considering switching competitor thank advance
My order was returned to sender,shipping,negative,high,order returned sender
I have been waiting 10 days for a resolution Can someone assist me?,complaint,negative,urgent,waiting 10 days resolution can someone assist
I was charged twice for my subscription this month This is urgent.,billing,neutral,medium,charged twice subscription month urgent
Your platform is one of the best I have used Can someone assist me?,feedback,positive,medium,platform one best used can someone assist
My account was hacked and I need help Please help me.,account,neutral,medium,account hacked need help please help
Does this product come with a warranty Please help me.,product_inquiry,neutral,low,product come warranty please help
My account was hacked and I need help I have been waiting for days.,account,neutral,high,account hacked need help waiting days
I need a refund for the duplicate charge Can someone assist me?,billing,negative,medium,need refund duplicate charge can someone assist
Overall great experience but the loading is a bit slow I am very frustrated.,feedback,neutral,medium,overall great experience loading bit slow am very frustrated
Why was I charged more than I expected I am very frustrated.,billing,neutral,urgent,why charged more than expected am very frustrated
My order has not arrived after 2 weeks Can someone assist me?,shipping,negative,low,order not arrived after weeks can someone assist
The mobile app is very slow and keeps freezing I have been waiting for days.,technical_support,neutral,medium,mobile app very slow keeps freezing waiting days
Please help me update my profile information I have been waiting for days.,account,neutral,low,please help update profile information waiting days
What features are included in the enterprise tier Thank you in advance.,product_inquiry,positive,medium,what features included enterprise tier thank advance
Can I expedite my shipping I have been waiting for days.,shipping,neutral,medium,can expedite shipping waiting days
I have a suggestion for improving the checkout process Thank you in advance.,feedback,positive,low,suggestion improving checkout process thank advance
I need a refund for the duplicate charge I have been waiting for days.,billing,negative,urgent,need refund duplicate charge waiting days
Does this product come with a warranty Thank you in advance.,product_inquiry,positive,low,product come warranty thank advance
Can I expedite my shipping I have been waiting for days.,shipping,negative,high,can expedite shipping waiting days
I am considering switching to a competitor I have been waiting for days.,complaint,negative,medium,am considering switching competitor waiting days
I cannot upload files through the platform I am very frustrated.,technical_support,neutral,urgent,cannot upload files through platform am very frustrated
My payment was declined but money left my account I have been waiting for days.,billing,negative,urgent,payment declined money left account waiting days
I need to change my email address,account,neutral,medium,need change email address
I need to change my email address I have been waiting for days.,account,neutral,low,need change email address waiting days
Overall great experience but the loading is a bit slow Can someone assist me?,feedback,positive,low,overall great experience loading bit slow can someone assist
Thank you for resolving my issue so quickly Can someone assist me?,feedback,positive,medium,thank resolving issue quickly can someone assist
I have a suggestion for improving the checkout process This is urgent.,feedback,positive,medium,suggestion improving checkout process urgent
I received a defective product and need a replacement Can someone assist me?,returns,negative,medium,received defective product need replacement can someone assist
Overall great experience but the loading is a bit slow Please help me.,feedback,positive,low,overall great experience loading bit slow please help
I need a refund for the duplicate charge I am very frustrated.,billing,negative,medium,need refund duplicate charge am very frustrated
I cannot log in to my account This is urgent.,technical_support,neutral,urgent,cannot log account urgent
I want to cancel my subscription and get a refund Please help me.,billing,neutral,urgent,want cancel subscription get refund please help
Can I use the product on multiple devices Can someone assist me?,product_inquiry,neutral,low,can use product multiple devices can someone assist
I want to exchange my item for a different size Please help me.,returns,neutral,medium,want exchange item different size please help
I need to merge two accounts I have been waiting for days.,account,neutral,low,need merge two accounts waiting days
I forgot my password and cannot reset it This is urgent.,account,neutral,medium,forgot password cannot reset urgent
Your service has gone downhill significantly Can someone assist me?,complaint,negative,high,service gone downhill significantly can someone assist
Thank you for resolving my issue so quickly I am very frustrated.,feedback,positive,low,thank resolving issue quickly am very frustrated
My invoice shows an incorrect amount Thank you in advance.,billing,negative,medium,invoice shows incorrect amount thank advance
I cannot verify my email address I am very frustrated.,account,neutral,low,cannot verify email address am very frustrated
I am very unhappy with the service I received Thank you in advance.,complaint,negative,high,am very unhappy service received thank advance
Overall great experience but the loading is a bit slow I have been waiting for days.,feedback,positive,low,overall great experience loading bit slow waiting days
My package was marked delivered but I did not receive it Please help me.,shipping,negative,medium,package marked delivered not receive please help
I forgot my password and cannot reset it This is urgent.,account,neutral,high,forgot password cannot reset urgent
I want to cancel my subscription and get a refund Please help me.,billing,negative,high,want cancel subscription get refund please help
My package was marked delivered but I did not receive it I have been waiting for days.,shipping,neutral,high,package marked delivered not receive waiting days
I received a defective product and need a replacement Please help me.,returns,negative,low,received defective product need replacement please help
Your platform is one of the best I have used Can someone assist me?,feedback,positive,medium,platform one best used can someone assist
Is this service available in my country Please help me.,product_inquiry,positive,medium,service available country please help
My package was marked delivered but I did not receive it Can someone assist me?,shipping,negative,high,package marked delivered not receive can someone assist
I want to return a product I bought last week This is urgent.,returns,neutral,low,want return product bought last week urgent
I was charged twice for my subscription this month Can someone assist me?,billing,negative,medium,charged twice subscription month can someone assist
The app crashes every time I open it Thank you in advance.,technical_support,neutral,high,app crashes every time open thank advance
I want to cancel my subscription and get a refund Please help me.,billing,neutral,high,want cancel subscription get refund please help
My order has not arrived after 2 weeks Please help me.,shipping,negative,high,order not arrived after weeks please help
I received the wrong item in my package Can someone assist me?,shipping,neutral,high,received wrong item package can someone assist
My account has been locked out Please help me.,account,neutral,high,account locked out please help
I think the mobile app needs a dark mode Can someone assist me?,feedback,positive,medium,think mobile app needs dark mode can someone assist
How does the cancellation policy work Please help me.,product_inquiry,neutral,low,how cancellation policy work please help
I want to cancel my subscription and get a refund This is urgent.,billing,negative,medium,want cancel subscription get refund urgent
Is this service available in my country I am very frustrated.,product_inquiry,positive,low,service available country am very frustrated
Is this service available in my country This is urgent.,product_inquiry,positive,low,service available country urgent
Do you have a free trial available I am very frustrated.,product_inquiry,positive,medium,free trial available am very frustrated
This is the third time I have had this problem,complaint,negative,urgent,third time problem
I cannot log in to my account I am very frustrated.,technical_support,neutral,medium,cannot log account am very frustrated
My invoice shows an incorrect amount I am very frustrated.,billing,neutral,high,invoice shows incorrect amount am very frustrated
I forgot my password and cannot reset it Can someone assist me?,account,neutral,low,forgot password cannot reset can someone assist
How long do refunds take to process This is urgent.,returns,neutral,low,how long refunds take process urgent
My bank account shows a charge but no confirmation This is urgent.,billing,negative,high,bank account shows charge no confirmation urgent
The website is showing an error 500 I am very frustrated.,technical_support,neutral,medium,website showing error 500 am very frustrated
The website is showing an error 500 This is urgent.,technical_support,neutral,high,website showing error 500 urgent
The app crashes every time I open it,technical_support,neutral,high,app crashes every time open
Nobody is responding to my previous emails I am very frustrated.,complaint,negative,medium,nobody responding previous emails am very frustrated
The feature is not working as expected I have been waiting for days.,technical_support,neutral,high,feature not working as expected waiting days
I want to exchange my item for a different size I am very frustrated.,returns,neutral,low,want exchange item different size am very frustrated
What features are included in the enterprise tier Please help me.,product_inquiry,positive,low,what features included enterprise tier please help
I love the new interface you released this week,feedback,positive,medium,love new interface released week
My package was marked delivered but I did not receive it Can someone assist me?,shipping,neutral,low,package marked delivered not receive can someone assist
Can I use the product on multiple devices Please help me.,product_inquiry,positive,medium,can use product multiple devices please help
My account was hacked and I need help Please help me.,account,neutral,low,account hacked need help please help
Would love to see monthly billing as an option Can someone assist me?,feedback,positive,medium,love see monthly billing as option can someone assist
I want to delete my account and all my data Can someone assist me?,account,neutral,high,want delete account all data can someone assist
Can I use the product on multiple devices This is urgent.,product_inquiry,positive,low,can use product multiple devices urgent
Do you have a free trial available I have been waiting for days.,product_inquiry,positive,medium,free trial available waiting days
My order has not arrived after 2 weeks I am very frustrated.,shipping,neutral,high,order not arrived after weeks am very frustrated
Nobody is responding to my previous emails I have been waiting for days.,complaint,negative,medium,nobody responding previous emails waiting days
How long will my order take to arrive I have been waiting for days.,shipping,neutral,low,how long order take arrive waiting days
Your platform is one of the best I have used I am very frustrated.,feedback,neutral,medium,platform one best used am very frustrated
Can I use the product on multiple devices Thank you in advance.,product_inquiry,positive,low,can use product multiple devices thank advance
How long do refunds take to process This is urgent.,returns,negative,low,how long refunds take process urgent
I have not received my refund after 2 weeks I have been waiting for days.,returns,negative,low,not received refund after weeks waiting days
I want to delete my account and all my data This is urgent.,account,neutral,medium,want delete account all data urgent
I need to change my email address This is urgent.,account,neutral,high,need change email address urgent
My bank account shows a charge but no confirmation I am very frustrated.,billing,negative,medium,bank account shows charge no confirmation am very frustrated
Can I expedite my shipping Thank you in advance.,shipping,negative,high,can expedite shipping thank advance
I received the wrong item in my package Can someone assist me?,shipping,negative,low,received wrong item package can someone assist
My payment was declined but money left my account I have been waiting for days.,billing,negative,medium,payment declined money left account waiting days
My payment was declined but money left my account,billing,negative,urgent,payment declined money left account
Can I use the product on multiple devices Can someone assist me?,product_inquiry,positive,low,can use product multiple devices can someone assist
The website is showing an error 500 This is urgent.,technical_support,neutral,urgent,website showing error 500 urgent
I am furious about how my case was handled,complaint,neutral,urgent,am furious how case handled
My account was hacked and I need help Thank you in advance.,account,neutral,low,account hacked need help thank advance
I have a suggestion for improving the checkout process Please help me.,feedback,positive,low,suggestion improving checkout process please help
Nobody is responding to my previous emails I am very frustrated.,complaint,negative,high,nobody responding previous emails am very frustrated
How do I initiate a return for a damaged item,returns,negative,low,how initiate return damaged item
Why was I charged more than I expected This is urgent.,billing,negative,high,why charged more than expected urgent
Is this service available in my country I am very frustrated.,product_inquiry,positive,low,service available country am very frustrated
Why was I charged more than I expected,billing,negative,urgent,why charged more than expected
I have not received my refund after 2 weeks This is urgent.,returns,neutral,low,not received refund after weeks urgent
Does this product come with a warranty This is urgent.,product_inquiry,neutral,low,product come warranty urgent
How do I initiate a return for a damaged item Thank you in advance.,returns,negative,low,how initiate return damaged item thank advance
I cannot log in to my account Can someone assist me?,technical_support,neutral,urgent,cannot log account can someone assist
The return window was missed due to shipping delays I am very frustrated.,returns,negative,low,return window missed due shipping delays am very frustrated
What are the specifications of your premium plan This is urgent.,product_inquiry,positive,low,what specifications premium plan urgent
My bank account shows a charge but no confirmation,billing,neutral,urgent,bank account shows charge no confirmation
I cannot verify my email address Please help me.,account,neutral,medium,cannot verify email address please help
I need to change my delivery address I am very frustrated.,shipping,negative,medium,need change delivery address am very frustrated
I need to change my email address Please help me.,account,neutral,high,need change email address please help
I am furious about how my case was handled Please help me.,complaint,negative,medium,am furious how case handled please help
The customer support team was incredibly helpful Please help me.,feedback,positive,low,customer support team incredibly helpful please help
My order has not arrived after 2 weeks Please help me.,shipping,negative,high,order not arrived after weeks please help
I think the mobile app needs a dark mode,feedback,positive,low,think mobile app needs dark mode
How long do refunds take to process Thank you in advance.,returns,neutral,low,how long refunds take process thank advance
The mobile app is very slow and keeps freezing I am very frustrated.,technical_support,neutral,urgent,mobile app very slow keeps freezing am very frustrated
Your agent was extremely rude and unhelpful I am very frustrated.,complaint,negative,urgent,agent extremely rude unhelpful am very frustrated
I want to return a product I bought last week Can someone assist me?,returns,neutral,low,want return product bought last week can someone assist
What is the difference between plan A and plan B,product_inquiry,neutral,medium,what difference between plan plan
Your agent was extremely rude and unhelpful Please help me.,complaint,negative,urgent,agent extremely rude unhelpful please help
Please help me update my profile information I am very frustrated.,account,neutral,low,please help update profile information am very frustrated
My account has been locked out Can someone assist me?,account,neutral,low,account locked out can someone assist
Your agent was extremely rude and unhelpful I have been waiting for days.,complaint,negative,medium,agent extremely rude unhelpful waiting days
My package was marked delivered but I did not receive it Please help me.,shipping,negative,high,package marked delivered not receive please help
How long will my order take to arrive I am very frustrated.,shipping,negative,medium,how long order take arrive am very frustrated
